,index,Subject,Experiment number, Experiment Activity, Experiment Type,Channels number,Channels lenght,Non-zero lenght
67,0,S006,10,Top Down,Imaginary,64,19680,19678
68,0,S006,11,Left Right,Real,64,19680,19679
69,0,S006,12,Left Right,Imaginary,64,19680,19680
70,0,S006,13,Top Down,Real,64,19680,19680
71,0,S006,14,Top Down,Imaginary,64,19680,19680
72,0,S007,03,Left Right,Real,64,20000,19920
73,0,S007,04,Left Right,Imaginary,64,20000,19920
74,0,S007,05,Top Down,Real,64,20000,19920
75,0,S007,06,Top Down,Imaginary,64,20000,19920
76,0,S007,07,Left Right,Real,64,20000,19919
77,0,S007,08,Left Right,Imaginary,64,20000,19920
78,0,S007,09,Top Down,Real,64,20000,19920
79,0,S007,10,Top Down,Imaginary,64,20000,19920
80,0,S007,11,Left Right,Real,64,20000,19920
81,0,S007,12,Left Right,Imaginary,64,20000,19916
82,0,S007,13,Top Down,Real,64,20000,19920
83,0,S007,14,Top Down,Imaginary,64,20000,19920
84,0,S008,03,Left Right,Real,64,19680,19680
85,0,S008,04,Left Right,Imaginary,64,19680,19679
86,0,S008,05,Top Down,Real,64,19680,19680
87,0,S008,06,Top Down,Imaginary,64,19680,19680
88,0,S008,07,Left Right,Real,64,19680,19680
89,0,S008,08,Left Right,Imaginary,64,19680,19680
90,0,S008,09,Top Down,Real,64,19680,19680
91,0,S008,10,Top Down,Imaginary,64,19680,19680
92,0,S008,11,Left Right,Real,64,19680,19678
93,0,S008,12,Left Right,Imaginary,64,19680,19680
94,0,S008,13,Top Down,Real,64,19680,19679
95,0,S008,14,Top Down,Imaginary,64,19680,19679
96,0,S009,03,Left Right,Real,64,19680,19680
97,0,S009,04,Left Right,Imaginary,64,19680,19680
98,0,S009,05,Top Down,Real,64,19680,19680
99,0,S009,06,Top Down,Imaginary,64,19680,19680
100,0,S009,07,Left Right,Real,64,19680,19679
101,0,S009,08,Left Right,Imaginary,64,19680,19680
102,0,S009,09,Top Down,Real,64,19680,19680
103,0,S009,10,Top Down,Imaginary,64,19680,19680
104,0,S009,11,Left Right,Real,64,19680,19680
105,0,S009,12,Left Right,Imaginary,64,19680,19680
106,0,S009,13,Top Down,Real,64,19680,19680
107,0,S009,14,Top Down,Imaginary,64,19680,19680
108,0,S010,03,Left Right,Real,64,19680,19679
109,0,S010,04,Left Right,Imaginary,64,19680,19679
110,0,S010,05,Top Down,Real,64,19680,19680
111,0,S010,06,Top Down,Imaginary,64,19680,19680
112,0,S010,07,Left Right,Real,64,19680,19680
113,0,S010,08,Left Right,Imaginary,64,19680,19680
114,0,S010,09,Top Down,Real,64,19680,19680
115,0,S010,10,Top Down,Imaginary,64,19680,19680
116,0,S010,11,Left Right,Real,64,19680,19679
117,0,S010,12,Left Right,Imaginary,64,19680,19680
118,0,S010,13,Top Down,Real,64,19680,19680
119,0,S010,14,Top Down,Imaginary,64,19680,19680
120,0,S011,03,Left Right,Real,64,19680,19676
121,0,S011,04,Left Right,Imaginary,64,19680,19680
122,0,S011,05,Top Down,Real,64,19680,19680
123,0,S011,06,Top Down,Imaginary,64,19680,19680
124,0,S011,07,Left Right,Real,64,19680,19680
125,0,S011,08,Left Right,Imaginary,64,19680,19679
126,0,S011,09,Top Down,Real,64,19680,19680
127,0,S011,10,Top Down,Imaginary,64,19680,19679
128,0,S011,11,Left Right,Real,64,19680,19680
129,0,S011,12,Left Right,Imaginary,64,19680,19680
130,0,S011,13,Top Down,Real,64,19680,19680
131,0,S011,14,Top Down,Imaginary,64,19680,19680
132,0,S012,03,Left Right,Real,64,19680,19679
133,0,S012,04,Left Right,Imaginary,64,19680,19680
134,0,S012,05,Top Down,Real,64,19680,19679
135,0,S012,06,Top Down,Imaginary,64,19680,19679
136,0,S012,07,Left Right,Real,64,19680,19678
137,0,S012,08,Left Right,Imaginary,64,19680,19680
138,0,S012,09,Top Down,Real,64,19680,19680
139,0,S012,10,Top Down,Imaginary,64,19680,19680
140,0,S012,11,Left Right,Real,64,19680,19680
141,0,S012,12,Left Right,Imaginary,64,19680,19680
142,0,S012,13,Top Down,Real,64,19680,19680
143,0,S012,14,Top Down,Imaginary,64,19680,19677
144,0,S013,03,Left Right,Real,64,19680,19680
145,0,S013,04,Left Right,Imaginary,64,19680,19680
146,0,S013,05,Top Down,Real,64,19680,19680
147,0,S013,06,Top Down,Imaginary,64,19680,19679
148,0,S013,07,Left Right,Real,64,19680,19680
149,0,S013,08,Left Right,Imaginary,64,19680,19680
150,0,S013,09,Top Down,Real,64,19680,19680
151,0,S013,10,Top Down,Imaginary,64,19680,19680
152,0,S013,11,Left Right,Real,64,19680,19680
153,0,S013,12,Left Right,Imaginary,64,19680,19680
154,0,S013,13,Top Down,Real,64,19680,19680
155,0,S013,14,Top Down,Imaginary,64,19680,19680
156,0,S014,03,Left Right,Real,64,19680,19678
157,0,S014,04,Left Right,Imaginary,64,19680,19678
158,0,S014,05,Top Down,Real,64,19680,19680
159,0,S014,06,Top Down,Imaginary,64,19680,19678
160,0,S014,07,Left Right,Real,64,19680,19680
161,0,S014,08,Left Right,Imaginary,64,19680,19680
162,0,S014,09,Top Down,Real,64,19680,19680
163,0,S014,10,Top Down,Imaginary,64,19680,19680
164,0,S014,11,Left Right,Real,64,19680,19680
165,0,S014,12,Left Right,Imaginary,64,19680,19680
166,0,S014,13,Top Down,Real,64,19680,19678
167,0,S014,14,Top Down,Imaginary,64,19680,19680
168,0,S015,03,Left Right,Real,64,19680,19679
169,0,S015,04,Left Right,Imaginary,64,19680,19680
170,0,S015,05,Top Down,Real,64,19680,19680
171,0,S015,06,Top Down,Imaginary,64,19680,19680
172,0,S015,07,Left Right,Real,64,19680,19680
173,0,S015,08,Left Right,Imaginary,64,19680,19680
174,0,S015,09,Top Down,Real,64,19680,19676
175,0,S015,10,Top Down,Imaginary,64,19680,19679
176,0,S015,11,Left Right,Real,64,19680,19679
177,0,S015,12,Left Right,Imaginary,64,19680,19680
178,0,S015,13,Top Down,Real,64,19680,19680
179,0,S015,14,Top Down,Imaginary,64,19680,19676
180,0,S016,03,Left Right,Real,64,19680,19680
181,0,S016,04,Left Right,Imaginary,64,19680,19680
182,0,S016,05,Top Down,Real,64,19680,19680
183,0,S016,06,Top Down,Imaginary,64,19680,19679
184,0,S016,07,Left Right,Real,64,19680,19680
185,0,S016,08,Left Right,Imaginary,64,19680,19680
186,0,S016,09,Top Down,Real,64,19680,19677
187,0,S016,10,Top Down,Imaginary,64,19680,19680
188,0,S016,11,Left Right,Real,64,19680,19680
189,0,S016,12,Left Right,Imaginary,64,19680,19680
190,0,S016,13,Top Down,Real,64,19680,19680
191,0,S016,14,Top Down,Imaginary,64,19680,19678
192,0,S017,03,Left Right,Real,64,19680,19680
193,0,S017,04,Left Right,Imaginary,64,19680,19680
194,0,S017,05,Top Down,Real,64,19680,19680
195,0,S017,06,Top Down,Imaginary,64,19680,19678
196,0,S017,07,Left Right,Real,64,19680,19680
197,0,S017,08,Left Right,Imaginary,64,19680,19680
198,0,S017,09,Top Down,Real,64,19680,19680
199,0,S017,10,Top Down,Imaginary,64,19680,19680
200,0,S017,11,Left Right,Real,64,19680,19680
201,0,S017,12,Left Right,Imaginary,64,19680,19680
202,0,S017,13,Top Down,Real,64,19680,19680
203,0,S017,14,Top Down,Imaginary,64,19680,19680
204,0,S018,03,Left Right,Real,64,19680,19680
205,0,S018,04,Left Right,Imaginary,64,19680,19667
206,0,S018,05,Top Down,Real,64,19680,19680
207,0,S018,06,Top Down,Imaginary,64,19680,19676
208,0,S018,07,Left Right,Real,64,19680,19676
209,0,S018,08,Left Right,Imaginary,64,19680,19680
210,0,S018,09,Top Down,Real,64,19680,19680
211,0,S018,10,Top Down,Imaginary,64,19680,19680
212,0,S018,11,Left Right,Real,64,19680,19672
213,0,S018,12,Left Right,Imaginary,64,19680,19677
214,0,S018,13,Top Down,Real,64,19680,19676
215,0,S018,14,Top Down,Imaginary,64,19680,19657
216,0,S019,03,Left Right,Real,64,19680,19680
217,0,S019,04,Left Right,Imaginary,64,19680,19680
218,0,S019,05,Top Down,Real,64,19680,19678
219,0,S019,06,Top Down,Imaginary,64,19680,19680
220,0,S019,07,Left Right,Real,64,19680,19680
221,0,S019,08,Left Right,Imaginary,64,19680,19680
222,0,S019,09,Top Down,Real,64,19680,19680
223,0,S019,10,Top Down,Imaginary,64,19680,19680
224,0,S019,11,Left Right,Real,64,19680,19679
225,0,S019,12,Left Right,Imaginary,64,19680,19680
226,0,S019,13,Top Down,Real,64,19680,19680
227,0,S019,14,Top Down,Imaginary,64,19680,19680
228,0,S020,03,Left Right,Real,64,19680,19680
229,0,S020,04,Left Right,Imaginary,64,19680,19679
230,0,S020,05,Top Down,Real,64,19680,19673
231,0,S020,06,Top Down,Imaginary,64,19680,19673
232,0,S020,07,Left Right,Real,64,19680,19675
233,0,S020,08,Left Right,Imaginary,64,19680,19680
234,0,S020,09,Top Down,Real,64,19680,19676
235,0,S020,10,Top Down,Imaginary,64,19680,19679
236,0,S020,11,Left Right,Real,64,19680,19680
237,0,S020,12,Left Right,Imaginary,64,19680,19679
238,0,S020,13,Top Down,Real,64,19680,19678
239,0,S020,14,Top Down,Imaginary,64,19680,19679
240,0,S021,03,Left Right,Real,64,20000,19920
241,0,S021,04,Left Right,Imaginary,64,20000,19915
242,0,S021,05,Top Down,Real,64,20000,19916
243,0,S021,06,Top Down,Imaginary,64,20000,19918
244,0,S021,07,Left Right,Real,64,20000,19920
245,0,S021,08,Left Right,Imaginary,64,20000,19919
246,0,S021,09,Top Down,Real,64,20000,19919
247,0,S021,10,Top Down,Imaginary,64,20000,19919
248,0,S021,11,Left Right,Real,64,20000,19919
249,0,S021,12,Left Right,Imaginary,64,20000,19920
250,0,S021,13,Top Down,Real,64,20000,19918
251,0,S021,14,Top Down,Imaginary,64,20000,19920
252,0,S022,03,Left Right,Real,64,20000,19920
253,0,S022,04,Left Right,Imaginary,64,20000,19920
254,0,S022,05,Top Down,Real,64,20000,19920
255,0,S022,06,Top Down,Imaginary,64,20000,19920
256,0,S022,07,Left Right,Real,64,20000,19920
257,0,S022,08,Left Right,Imaginary,64,20000,19920
258,0,S022,09,Top Down,Real,64,20000,19920
259,0,S022,10,Top Down,Imaginary,64,20000,19920
260,0,S022,11,Left Right,Real,64,20000,19920
261,0,S022,12,Left Right,Imaginary,64,20000,19919
262,0,S022,13,Top Down,Real,64,20000,19920
263,0,S022,14,Top Down,Imaginary,64,20000,19920
264,0,S023,03,Left Right,Real,64,19680,19680
265,0,S023,04,Left Right,Imaginary,64,19680,19680
266,0,S023,05,Top Down,Real,64,19680,19679
267,0,S023,06,Top Down,Imaginary,64,19680,19679
268,0,S023,07,Left Right,Real,64,19680,19680
269,0,S023,08,Left Right,Imaginary,64,19680,19680
270,0,S023,09,Top Down,Real,64,19680,19680
271,0,S023,10,Top Down,Imaginary,64,19680,19680
272,0,S023,11,Left Right,Real,64,19680,19680
273,0,S023,12,Left Right,Imaginary,64,19680,19680
274,0,S023,13,Top Down,Real,64,19680,19679
275,0,S023,14,Top Down,Imaginary,64,19680,19680
276,0,S024,03,Left Right,Real,64,19680,19680
277,0,S024,04,Left Right,Imaginary,64,19680,19680
278,0,S024,05,Top Down,Real,64,19680,19680
279,0,S024,06,Top Down,Imaginary,64,19680,19680
280,0,S024,07,Left Right,Real,64,19680,19680
281,0,S024,08,Left Right,Imaginary,64,19680,19679
282,0,S024,09,Top Down,Real,64,19680,19680
283,0,S024,10,Top Down,Imaginary,64,19680,19680
284,0,S024,11,Left Right,Real,64,19680,19680
285,0,S024,12,Left Right,Imaginary,64,19680,19679
286,0,S024,13,Top Down,Real,64,19680,19680
287,0,S024,14,Top Down,Imaginary,64,19680,19680
288,0,S025,03,Left Right,Real,64,19680,19680
289,0,S025,04,Left Right,Imaginary,64,19680,19673
290,0,S025,05,Top Down,Real,64,19680,19676
291,0,S025,06,Top Down,Imaginary,64,19680,19678
292,0,S025,07,Left Right,Real,64,19680,19679
293,0,S025,08,Left Right,Imaginary,64,19680,19679
294,0,S025,09,Top Down,Real,64,19680,19672
295,0,S025,10,Top Down,Imaginary,64,19680,19677
296,0,S025,11,Left Right,Real,64,19680,19678
297,0,S025,12,Left Right,Imaginary,64,19680,19680
298,0,S025,13,Top Down,Real,64,19680,19675
299,0,S025,14,Top Down,Imaginary,64,19680,19680
300,0,S026,03,Left Right,Real,64,19680,19680
301,0,S026,04,Left Right,Imaginary,64,19680,19672
302,0,S026,05,Top Down,Real,64,19680,19679
303,0,S026,06,Top Down,Imaginary,64,19680,19679
304,0,S026,07,Left Right,Real,64,19680,19675
305,0,S026,08,Left Right,Imaginary,64,19680,19679
306,0,S026,09,Top Down,Real,64,19680,19676
307,0,S026,10,Top Down,Imaginary,64,19680,19680
308,0,S026,11,Left Right,Real,64,19680,19679
309,0,S026,12,Left Right,Imaginary,64,19680,19679
310,0,S026,13,Top Down,Real,64,19680,19680
311,0,S026,14,Top Down,Imaginary,64,19680,19676
312,0,S027,03,Left Right,Real,64,19680,19679
313,0,S027,04,Left Right,Imaginary,64,19680,19680
314,0,S027,05,Top Down,Real,64,19680,19680
315,0,S027,06,Top Down,Imaginary,64,19680,19680
316,0,S027,07,Left Right,Real,64,19680,19680
317,0,S027,08,Left Right,Imaginary,64,19680,19680
318,0,S027,09,Top Down,Real,64,19680,19680
319,0,S027,10,Top Down,Imaginary,64,19680,19680
320,0,S027,11,Left Right,Real,64,19680,19680
321,0,S027,12,Left Right,Imaginary,64,19680,19680
322,0,S027,13,Top Down,Real,64,19680,19680
323,0,S027,14,Top Down,Imaginary,64,19680,19679
324,0,S028,03,Left Right,Real,64,19680,19680
325,0,S028,04,Left Right,Imaginary,64,19680,19680
326,0,S028,05,Top Down,Real,64,19680,19680
327,0,S028,06,Top Down,Imaginary,64,19680,19679
328,0,S028,07,Left Right,Real,64,19680,19680
329,0,S028,08,Left Right,Imaginary,64,19680,19680
330,0,S028,09,Top Down,Real,64,19680,19679
331,0,S028,10,Top Down,Imaginary,64,19680,19680
332,0,S028,11,Left Right,Real,64,19680,19680
333,0,S028,12,Left Right,Imaginary,64,19680,19680
334,0,S028,13,Top Down,Real,64,19680,19679
335,0,S028,14,Top Down,Imaginary,64,19680,19680
336,0,S029,03,Left Right,Real,64,19840,19696
337,0,S029,04,Left Right,Imaginary,64,19840,19686
338,0,S029,05,Top Down,Real,64,19840,19696
339,0,S029,06,Top Down,Imaginary,64,19840,19694
340,0,S029,07,Left Right,Real,64,19840,19695
341,0,S029,08,Left Right,Imaginary,64,19840,19696
342,0,S029,09,Top Down,Real,64,19840,19696
343,0,S029,10,Top Down,Imaginary,64,19840,19689
344,0,S029,11,Left Right,Real,64,19840,19696
345,0,S029,12,Left Right,Imaginary,64,19840,19695
346,0,S029,13,Top Down,Real,64,19840,19695
347,0,S029,14,Top Down,Imaginary,64,19840,19695
348,0,S030,03,Left Right,Real,64,19840,19696
349,0,S030,04,Left Right,Imaginary,64,19840,19694
350,0,S030,05,Top Down,Real,64,19840,19676
351,0,S030,06,Top Down,Imaginary,64,19840,19692
352,0,S030,07,Left Right,Real,64,19840,19696
353,0,S030,08,Left Right,Imaginary,64,19840,19696
354,0,S030,09,Top Down,Real,64,19840,19689
355,0,S030,10,Top Down,Imaginary,64,19840,19696
356,0,S030,11,Left Right,Real,64,19840,19694
357,0,S030,12,Left Right,Imaginary,64,19840,19695
358,0,S030,13,Top Down,Real,64,19840,19695
359,0,S030,14,Top Down,Imaginary,64,19840,19683
360,0,S031,03,Left Right,Real,64,19680,19679
361,0,S031,04,Left Right,Imaginary,64,19680,19680
362,0,S031,05,Top Down,Real,64,19680,19680
363,0,S031,06,Top Down,Imaginary,64,19680,19680
364,0,S031,07,Left Right,Real,64,19680,19680
365,0,S031,08,Left Right,Imaginary,64,19680,19680
366,0,S031,09,Top Down,Real,64,19680,19679
367,0,S031,10,Top Down,Imaginary,64,19680,19679
368,0,S031,11,Left Right,Real,64,19680,19679
369,0,S031,12,Left Right,Imaginary,64,19680,19680
370,0,S031,13,Top Down,Real,64,19680,19680
371,0,S031,14,Top Down,Imaginary,64,19680,19680
372,0,S032,03,Left Right,Real,64,20000,19920
373,0,S032,04,Left Right,Imaginary,64,20000,19920
374,0,S032,05,Top Down,Real,64,20000,19920
375,0,S032,06,Top Down,Imaginary,64,20000,19920
376,0,S032,07,Left Right,Real,64,20000,19920
377,0,S032,08,Left Right,Imaginary,64,20000,19919
378,0,S032,09,Top Down,Real,64,20000,19920
379,0,S032,10,Top Down,Imaginary,64,20000,19920
380,0,S032,11,Left Right,Real,64,20000,19920
381,0,S032,12,Left Right,Imaginary,64,20000,19920
382,0,S032,13,Top Down,Real,64,20000,19920
383,0,S032,14,Top Down,Imaginary,64,20000,19920
384,0,S033,03,Left Right,Real,64,19680,19680
385,0,S033,04,Left Right,Imaginary,64,19680,19676
386,0,S033,05,Top Down,Real,64,19680,19677
387,0,S033,06,Top Down,Imaginary,64,19680,19678
388,0,S033,07,Left Right,Real,64,19680,19680
389,0,S033,08,Left Right,Imaginary,64,19680,19675
390,0,S033,09,Top Down,Real,64,19680,19679
391,0,S033,10,Top Down,Imaginary,64,19680,19680
392,0,S033,11,Left Right,Real,64,19680,19679
393,0,S033,12,Left Right,Imaginary,64,19680,19680
394,0,S033,13,Top Down,Real,64,19680,19674
395,0,S033,14,Top Down,Imaginary,64,19680,19676
396,0,S034,03,Left Right,Real,64,19680,19679
397,0,S034,04,Left Right,Imaginary,64,19840,19696
398,0,S034,05,Top Down,Real,64,19680,19662
399,0,S034,06,Top Down,Imaginary,64,19680,19678
400,0,S034,07,Left Right,Real,64,19680,19651
401,0,S034,08,Left Right,Imaginary,64,19680,19680
402,0,S034,09,Top Down,Real,64,19680,19680
403,0,S034,10,Top Down,Imaginary,64,19680,19680
404,0,S034,11,Left Right,Real,64,19680,19680
405,0,S034,12,Left Right,Imaginary,64,19680,19677
406,0,S034,13,Top Down,Real,64,19680,19680
407,0,S034,14,Top Down,Imaginary,64,19680,19679
408,0,S035,03,Left Right,Real,64,20000,19920
409,0,S035,04,Left Right,Imaginary,64,20000,19920
410,0,S035,05,Top Down,Real,64,20000,19920
411,0,S035,06,Top Down,Imaginary,64,20000,19920
412,0,S035,07,Left Right,Real,64,20000,19920
413,0,S035,08,Left Right,Imaginary,64,20000,19919
414,0,S035,09,Top Down,Real,64,20000,19920
415,0,S035,10,Top Down,Imaginary,64,20000,19920
416,0,S035,11,Left Right,Real,64,20000,19919
417,0,S035,12,Left Right,Imaginary,64,20000,19920
418,0,S035,13,Top Down,Real,64,20000,19920
419,0,S035,14,Top Down,Imaginary,64,20000,19920
420,0,S036,03,Left Right,Real,64,19680,19679
421,0,S036,04,Left Right,Imaginary,64,19680,19680
422,0,S036,05,Top Down,Real,64,19680,19679
423,0,S036,06,Top Down,Imaginary,64,19680,19680
424,0,S036,07,Left Right,Real,64,19680,19680
425,0,S036,08,Left Right,Imaginary,64,19680,19680
426,0,S036,09,Top Down,Real,64,19680,19680
427,0,S036,10,Top Down,Imaginary,64,19680,19680
428,0,S036,11,Left Right,Real,64,19680,19680
429,0,S036,12,Left Right,Imaginary,64,19680,19679
430,0,S036,13,Top Down,Real,64,19680,19679
431,0,S036,14,Top Down,Imaginary,64,19680,19679
432,0,S037,03,Left Right,Real,64,19680,19657
433,0,S037,04,Left Right,Imaginary,64,19840,19691
434,0,S037,05,Top Down,Real,64,19680,19664
435,0,S037,06,Top Down,Imaginary,64,19680,19676
436,0,S037,07,Left Right,Real,64,19680,19676
437,0,S037,08,Left Right,Imaginary,64,19680,19679
438,0,S037,09,Top Down,Real,64,19680,19671
439,0,S037,10,Top Down,Imaginary,64,19680,19673
440,0,S037,11,Left Right,Real,64,19680,19669
441,0,S037,12,Left Right,Imaginary,64,19680,19675
442,0,S037,13,Top Down,Real,64,19680,19676
443,0,S037,14,Top Down,Imaginary,64,19680,19673
444,0,S038,03,Left Right,Real,64,19680,19680
445,0,S038,04,Left Right,Imaginary,64,19680,19680
446,0,S038,05,Top Down,Real,64,19680,19680
447,0,S038,06,Top Down,Imaginary,64,19680,19680
448,0,S038,07,Left Right,Real,64,19680,19680
449,0,S038,08,Left Right,Imaginary,64,19680,19680
450,0,S038,09,Top Down,Real,64,19680,19680
451,0,S038,10,Top Down,Imaginary,64,19680,19680
452,0,S038,11,Left Right,Real,64,19680,19680
453,0,S038,12,Left Right,Imaginary,64,19680,19680
454,0,S038,13,Top Down,Real,64,19680,19679
455,0,S038,14,Top Down,Imaginary,64,19680,19679
456,0,S039,03,Left Right,Real,64,19680,19680
457,0,S039,04,Left Right,Imaginary,64,19680,19680
458,0,S039,05,Top Down,Real,64,19680,19679
459,0,S039,06,Top Down,Imaginary,64,19680,19680
460,0,S039,07,Left Right,Real,64,19680,19680
461,0,S039,08,Left Right,Imaginary,64,19680,19680
462,0,S039,09,Top Down,Real,64,19680,19680
463,0,S039,10,Top Down,Imaginary,64,19680,19680
464,0,S039,11,Left Right,Real,64,19680,19680
465,0,S039,12,Left Right,Imaginary,64,19680,19680
466,0,S039,13,Top Down,Real,64,19680,19680
467,0,S039,14,Top Down,Imaginary,64,19680,19680
468,0,S040,03,Left Right,Real,64,19680,19679
469,0,S040,04,Left Right,Imaginary,64,19680,19680
470,0,S040,05,Top Down,Real,64,19680,19680
471,0,S040,06,Top Down,Imaginary,64,19680,19680
472,0,S040,07,Left Right,Real,64,19680,19680
473,0,S040,08,Left Right,Imaginary,64,19680,19680
474,0,S040,09,Top Down,Real,64,19680,19680
475,0,S040,10,Top Down,Imaginary,64,19680,19680
476,0,S040,11,Left Right,Real,64,19680,19679
477,0,S040,12,Left Right,Imaginary,64,19680,19680
478,0,S040,13,Top Down,Real,64,19680,19680
479,0,S040,14,Top Down,Imaginary,64,19680,19679
480,0,S041,03,Left Right,Real,64,19680,19679
481,0,S041,04,Left Right,Imaginary,64,19840,19684
482,0,S041,05,Top Down,Real,64,19680,19677
483,0,S041,06,Top Down,Imaginary,64,19680,19675
484,0,S041,07,Left Right,Real,64,19680,19677
485,0,S041,08,Left Right,Imaginary,64,19680,19679
486,0,S041,09,Top Down,Real,64,19680,19673
487,0,S041,10,Top Down,Imaginary,64,19840,19692
488,0,S041,11,Left Right,Real,64,19680,19680
489,0,S041,12,Left Right,Imaginary,64,19840,19693
490,0,S041,13,Top Down,Real,64,19680,19667
491,0,S041,14,Top Down,Imaginary,64,19840,19688
492,0,S042,03,Left Right,Real,64,19680,19680
493,0,S042,04,Left Right,Imaginary,64,19680,19680
494,0,S042,05,Top Down,Real,64,19680,19679
495,0,S042,06,Top Down,Imaginary,64,19680,19677
496,0,S042,07,Left Right,Real,64,19680,19679
497,0,S042,08,Left Right,Imaginary,64,19680,19679
498,0,S042,09,Top Down,Real,64,19680,19671
499,0,S042,10,Top Down,Imaginary,64,19680,19680
500,0,S042,11,Left Right,Real,64,19680,19678
501,0,S042,12,Left Right,Imaginary,64,19680,19675
502,0,S042,13,Top Down,Real,64,19680,19678
503,0,S042,14,Top Down,Imaginary,64,19680,19676
504,0,S043,03,Left Right,Real,64,19680,19680
505,0,S043,04,Left Right,Imaginary,64,19680,19680
506,0,S043,05,Top Down,Real,64,19680,19680
507,0,S043,06,Top Down,Imaginary,64,19680,19680
508,0,S043,07,Left Right,Real,64,19680,19680
509,0,S043,08,Left Right,Imaginary,64,19680,19680
510,0,S043,09,Top Down,Real,64,19680,19680
511,0,S043,10,Top Down,Imaginary,64,19680,19680
512,0,S043,11,Left Right,Real,64,19680,19680
513,0,S043,12,Left Right,Imaginary,64,19680,19680
514,0,S043,13,Top Down,Real,64,19680,19680
515,0,S043,14,Top Down,Imaginary,64,19680,19679
516,0,S044,03,Left Right,Real,64,19680,19680
517,0,S044,04,Left Right,Imaginary,64,19680,19680
518,0,S044,05,Top Down,Real,64,19680,19679
519,0,S044,06,Top Down,Imaginary,64,19680,19679
520,0,S044,07,Left Right,Real,64,19680,19680
521,0,S044,08,Left Right,Imaginary,64,19680,19680
522,0,S044,09,Top Down,Real,64,19680,19680
523,0,S044,10,Top Down,Imaginary,64,19680,19680
